State,Year,Education Level of Mother,Number of Births,Average Age of Mother (years)
Alabama,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4421,31.8
Alabama,2021,"Some college credit, but not a degree",11255,27.5
Alabama,2021,Unknown or Not Stated,62,27.6
Alaska,2016,8th grade or less,76,28.2
Alaska,2016,9th through 12th grade with no diploma,1050,24.4
Alaska,2016,"Associate degree (AA, AS)",906,29.6
Alaska,2016,"Bachelor's degree (BA, AB, BS)",1848,31.0
Alaska,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",187,34.0
Alaska,2016,High school graduate or GED completed,3346,26.2
Alaska,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",719,33.0
Alaska,2016,"Some college credit, but not a degree",2911,27.9
Alaska,2016,Unknown or Not Stated,166,29.5
Alaska,2017,8th grade or less,88,28.1
Alaska,2017,9th through 12th grade with no diploma,942,24.3
Alaska,2017,"Associate degree (AA, AS)",844,29.9
Alaska,2017,"Bachelor's degree (BA, AB, BS)",1722,31.4
Alaska,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",185,34.2
Alaska,2017,High school graduate or GED completed,3097,26.6
Alaska,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",688,33.4
Alaska,2017,"Some college credit, but not a degree",2723,28.0
Alaska,2017,Unknown or Not Stated,156,29.2
Alaska,2018,8th grade or less,63,28.4
Alaska,2018,9th through 12th grade with no diploma,880,24.9
Alaska,2018,"Associate degree (AA, AS)",838,30.0
Alaska,2018,"Bachelor's degree (BA, AB, BS)",1737,31.4
Alaska,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",209,34.2
Alaska,2018,High school graduate or GED completed,3021,26.5
Alaska,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",643,33.3
Alaska,2018,"Some college credit, but not a degree",2556,28.2
Alaska,2018,Unknown or Not Stated,139,29.2
Alaska,2019,8th grade or less,68,29.8
Alaska,2019,9th through 12th grade with no diploma,830,25.2
Alaska,2019,"Associate degree (AA, AS)",776,30.2
Alaska,2019,"Bachelor's degree (BA, AB, BS)",1675,31.6
Alaska,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",221,34.5
Alaska,2019,High school graduate or GED completed,3001,26.8
Alaska,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",636,33.3
Alaska,2019,"Some college credit, but not a degree",2446,28.2
Alaska,2019,Unknown or Not Stated,169,29.0
Alaska,2020,8th grade or less,53,29.0
Alaska,2020,9th through 12th grade with no diploma,735,25.9
Alaska,2020,"Associate degree (AA, AS)",813,30.2
Alaska,2020,"Bachelor's degree (BA, AB, BS)",1579,31.4
Alaska,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",230,34.3
Alaska,2020,High school graduate or GED completed,2994,26.7
Alaska,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",612,33.2
Alaska,2020,"Some college credit, but not a degree",2300,28.4
Alaska,2020,Unknown or Not Stated,153,28.6
Alaska,2021,8th grade or less,60,29.4
Alaska,2021,9th through 12th grade with no diploma,712,24.8
Alaska,2021,"Associate degree (AA, AS)",752,30.4
Alaska,2021,"Bachelor's degree (BA, AB, BS)",1697,31.6
Alaska,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",219,34.2
Alaska,2021,High school graduate or GED completed,2848,26.8
Alaska,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",654,33.7
Alaska,2021,"Some college credit, but not a degree",2257,28.4
Alaska,2021,Unknown or Not Stated,168,29.3
Arizona,2016,8th grade or less,2751,29.6
Arizona,2016,9th through 12th grade with no diploma,12352,24.8
Arizona,2016,"Associate degree (AA, AS)",7173,29.4
Arizona,2016,"Bachelor's degree (BA, AB, BS)",13799,31.1
Arizona,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1534,33.6
Arizona,2016,High school graduate or GED completed,21291,26.2
Arizona,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4984,32.8
Arizona,2016,"Some college credit, but not a degree",20085,27.6
Arizona,2016,Unknown or Not Stated,551,27.9
Arizona,2017,8th grade or less,2517,29.6
Arizona,2017,9th through 12th grade with no diploma,11557,24.9
Arizona,2017,"Associate degree (AA, AS)",6756,29.8
Arizona,2017,"Bachelor's degree (BA, AB, BS)",13019,31.2
Arizona,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1594,33.6
Arizona,2017,High school graduate or GED completed,21492,26.4
Arizona,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5141,32.8
Arizona,2017,"Some college credit, but not a degree",19218,27.8
Arizona,2017,Unknown or Not Stated,578,28.8
Arizona,2018,8th grade or less,2394,29.5
Arizona,2018,9th through 12th grade with no diploma,11102,25.0
Arizona,2018,"Associate degree (AA, AS)",6887,29.8
Arizona,2018,"Bachelor's degree (BA, AB, BS)",13326,31.2
Arizona,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1575,33.9
Arizona,2018,High school graduate or GED completed,21303,26.5
Arizona,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5111,32.8
Arizona,2018,"Some college credit, but not a degree",18661,28.0
Arizona,2018,Unknown or Not Stated,364,28.6
Arizona,2019,8th grade or less,2247,29.7
Arizona,2019,9th through 12th grade with no diploma,10350,25.1
Arizona,2019,"Associate degree (AA, AS)",6803,29.8
Arizona,2019,"Bachelor's degree (BA, AB, BS)",13466,31.2
Arizona,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1556,34.0
Arizona,2019,High school graduate or GED completed,21293,26.6
Arizona,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5073,32.9
Arizona,2019,"Some college credit, but not a degree",18249,28.2
Arizona,2019,Unknown or Not Stated,338,28.8
Arizona,2020,8th grade or less,1958,29.5
Arizona,2020,9th through 12th grade with no diploma,9553,25.2
Arizona,2020,"Associate degree (AA, AS)",6703,30.0
Arizona,2020,"Bachelor's degree (BA, AB, BS)",13262,31.2
Arizona,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1641,34.0
Arizona,2020,High school graduate or GED completed,20860,26.7
Arizona,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5026,32.8
Arizona,2020,"Some college credit, but not a degree",17562,28.4
Arizona,2020,Unknown or Not Stated,382,29.2
Arizona,2021,8th grade or less,1838,29.4
Arizona,2021,9th through 12th grade with no diploma,9065,25.3
Arizona,2021,"Associate degree (AA, AS)",6807,30.0
Arizona,2021,"Bachelor's degree (BA, AB, BS)",14283,31.2
Arizona,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1700,34.2
Arizona,2021,High school graduate or GED completed,21459,26.9
Arizona,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5313,32.8
Arizona,2021,"Some college credit, but not a degree",17105,28.6
Arizona,2021,Unknown or Not Stated,346,29.0
Arkansas,2016,8th grade or less,928,29.4
Arkansas,2016,9th through 12th grade with no diploma,4724,23.9
Arkansas,2016,"Associate degree (AA, AS)",2807,28.4
Arkansas,2016,"Bachelor's degree (BA, AB, BS)",5530,29.9
Arkansas,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",534,32.6
Arkansas,2016,High school graduate or GED completed,12394,25.1
Arkansas,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1961,31.4
Arkansas,2016,"Some college credit, but not a degree",9164,26.5
Arkansas,2016,Unknown or Not Stated,232,27.0
Arkansas,2017,8th grade or less,872,28.8
Arkansas,2017,9th through 12th grade with no diploma,4575,24.1
Arkansas,2017,"Associate degree (AA, AS)",2723,28.4
Arkansas,2017,"Bachelor's degree (BA, AB, BS)",5356,30.0
Arkansas,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",495,32.4
Arkansas,2017,High school graduate or GED completed,12520,25.2
Arkansas,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1948,31.6
Arkansas,2017,"Some college credit, but not a degree",8834,26.6
Arkansas,2017,Unknown or Not Stated,197,27.6
Arkansas,2018,8th grade or less,860,29.6
Arkansas,2018,9th through 12th grade with no diploma,4301,24.2
Arkansas,2018,"Associate degree (AA, AS)",2978,28.4
Arkansas,2018,"Bachelor's degree (BA, AB, BS)",5291,30.0
Arkansas,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",579,32.5
Arkansas,2018,High school graduate or GED completed,11959,25.2
Arkansas,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2187,31.8
Arkansas,2018,"Some college credit, but not a degree",8566,26.8
Arkansas,2018,Unknown or Not Stated,297,27.7
Arkansas,2019,8th grade or less,799,29.4
Arkansas,2019,9th through 12th grade with no diploma,3964,24.2
Arkansas,2019,"Associate degree (AA, AS)",2889,28.5
Arkansas,2019,"Bachelor's degree (BA, AB, BS)",5265,30.0
Arkansas,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",549,32.8
Arkansas,2019,High school graduate or GED completed,12227,25.3
Arkansas,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2244,31.6
Arkansas,2019,"Some college credit, but not a degree",8350,26.9
Arkansas,2019,Unknown or Not Stated,277,26.8
Arkansas,2020,8th grade or less,823,29.4
Arkansas,2020,9th through 12th grade with no diploma,3672,24.2
Arkansas,2020,"Associate degree (AA, AS)",2940,28.6
Arkansas,2020,"Bachelor's degree (BA, AB, BS)",5200,30.0
Arkansas,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",597,32.6
Arkansas,2020,High school graduate or GED completed,11853,25.4
Arkansas,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2185,31.6
Arkansas,2020,"Some college credit, but not a degree",7666,27.0
Arkansas,2020,Unknown or Not Stated,315,26.7
Arkansas,2021,8th grade or less,784,29.2
Arkansas,2021,9th through 12th grade with no diploma,3507,24.5
Arkansas,2021,"Associate degree (AA, AS)",3057,28.7
Arkansas,2021,"Bachelor's degree (BA, AB, BS)",5540,30.0
Arkansas,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",688,32.9
Arkansas,2021,High school graduate or GED completed,12079,25.4
Arkansas,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2512,31.7
Arkansas,2021,"Some college credit, but not a degree",7419,27.0
Arkansas,2021,Unknown or Not Stated,379,28.3
California,2016,8th grade or less,20226,31.4
California,2016,9th through 12th grade with no diploma,48019,26.6
California,2016,"Associate degree (AA, AS)",31795,30.4
California,2016,"Bachelor's degree (BA, AB, BS)",94066,32.2
California,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13783,34.7
California,2016,High school graduate or GED completed,117402,27.1
California,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41680,33.4
California,2016,"Some college credit, but not a degree",96498,28.4
California,2016,Unknown or Not Stated,25358,30.6
California,2017,8th grade or less,18261,31.4
California,2017,9th through 12th grade with no diploma,43176,27.0
California,2017,"Associate degree (AA, AS)",30847,30.6
California,2017,"Bachelor's degree (BA, AB, BS)",94168,32.4
California,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13703,34.8
California,2017,High school graduate or GED completed,112979,27.2
California,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41456,33.6
California,2017,"Some college credit, but not a degree",93242,28.6
California,2017,Unknown or Not Stated,23826,31.0
California,2018,8th grade or less,16717,31.4
California,2018,9th through 12th grade with no diploma,38844,27.2
California,2018,"Associate degree (AA, AS)",29872,30.7
California,2018,"Bachelor's degree (BA, AB, BS)",92001,32.5
California,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13912,34.8
California,2018,High school graduate or GED completed,108536,27.4
California,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41821,33.7
California,2018,"Some college credit, but not a degree",88705,28.8
California,2018,Unknown or Not Stated,24512,31.0
California,2019,8th grade or less,14910,31.2
California,2019,9th through 12th grade with no diploma,35283,27.4
California,2019,"Associate degree (AA, AS)",29852,30.8
California,2019,"Bachelor's degree (BA, AB, BS)",91537,32.6
California,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14070,34.8
California,2019,High school graduate or GED completed,105388,27.5
California,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",42057,33.7
California,2019,"Some college credit, but not a degree",85435,29.0
California,2019,Unknown or Not Stated,27947,31.2
California,2020,8th grade or less,13407,31.2
California,2020,9th through 12th grade with no diploma,31227,27.6
California,2020,"Associate degree (AA, AS)",28365,30.8
California,2020,"Bachelor's degree (BA, AB, BS)",86356,32.6
California,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",13535,34.9
California,2020,High school graduate or GED completed,99814,27.6
California,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",40136,33.8
California,2020,"Some college credit, but not a degree",78868,29.1
California,2020,Unknown or Not Stated,28551,31.0
California,2021,8th grade or less,12510,31.0
California,2021,9th through 12th grade with no diploma,27491,27.6
California,2021,"Associate degree (AA, AS)",28866,30.8
California,2021,"Bachelor's degree (BA, AB, BS)",88077,32.7
California,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",14585,35.0
California,2021,High school graduate or GED completed,99304,27.8
California,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",41662,33.8
California,2021,"Some college credit, but not a degree",76913,29.3
California,2021,Unknown or Not Stated,31200,31.0
Colorado,2016,8th grade or less,1646,30.6
Colorado,2016,9th through 12th grade with no diploma,6082,25.0
Colorado,2016,"Associate degree (AA, AS)",5378,29.8
Colorado,2016,"Bachelor's degree (BA, AB, BS)",16426,31.6
Colorado,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2011,34.2
Colorado,2016,High school graduate or GED completed,13208,26.4
Colorado,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6976,33.2
Colorado,2016,"Some college credit, but not a degree",14136,27.8
Colorado,2016,Unknown or Not Stated,750,29.7
Colorado,2017,8th grade or less,1647,30.6
Colorado,2017,9th through 12th grade with no diploma,5716,25.3
Colorado,2017,"Associate degree (AA, AS)",5223,29.9
Colorado,2017,"Bachelor's degree (BA, AB, BS)",15743,31.8
Colorado,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2022,34.3
Colorado,2017,High school graduate or GED completed,12697,26.2
Colorado,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7057,33.3
Colorado,2017,"Some college credit, but not a degree",13381,28.0
Colorado,2017,Unknown or Not Stated,896,29.6
Colorado,2018,8th grade or less,1465,30.6
Colorado,2018,9th through 12th grade with no diploma,5291,25.4
Colorado,2018,"Associate degree (AA, AS)",4914,30.2
Colorado,2018,"Bachelor's degree (BA, AB, BS)",15574,31.8
Colorado,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2050,34.4
Colorado,2018,High school graduate or GED completed,12506,26.5
Colorado,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7031,33.4
Colorado,2018,"Some college credit, but not a degree",13177,28.1
Colorado,2018,Unknown or Not Stated,877,29.6
Colorado,2019,8th grade or less,1504,30.4
Colorado,2019,9th through 12th grade with no diploma,5144,25.4
Colorado,2019,"Associate degree (AA, AS)",4991,30.2
Colorado,2019,"Bachelor's degree (BA, AB, BS)",15825,32.0
Colorado,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2105,34.5
Colorado,2019,High school graduate or GED completed,12598,26.4
Colorado,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7217,33.5
Colorado,2019,"Some college credit, but not a degree",12669,28.2
Colorado,2019,Unknown or Not Stated,816,29.7
Colorado,2020,8th grade or less,1503,30.4
Colorado,2020,9th through 12th grade with no diploma,4809,25.5
Colorado,2020,"Associate degree (AA, AS)",4758,30.2
Colorado,2020,"Bachelor's degree (BA, AB, BS)",15758,32.0
Colorado,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2150,34.4
Colorado,2020,High school graduate or GED completed,12544,26.6
Colorado,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7337,33.4
Colorado,2020,"Some college credit, but not a degree",12034,28.4
Colorado,2020,Unknown or Not Stated,601,29.6
Colorado,2021,8th grade or less,1377,30.0
Colorado,2021,9th through 12th grade with no diploma,4567,25.4
Colorado,2021,"Associate degree (AA, AS)",4722,30.0
Colorado,2021,"Bachelor's degree (BA, AB, BS)",16975,32.2
Colorado,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2357,34.5
Colorado,2021,High school graduate or GED completed,12443,26.7
Colorado,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7864,33.7
Colorado,2021,"Some college credit, but not a degree",11943,28.6
Colorado,2021,Unknown or Not Stated,701,30.0
Connecticut,2016,8th grade or less,812,30.0
Connecticut,2016,9th through 12th grade with no diploma,2805,26.2
Connecticut,2016,"Associate degree (AA, AS)",3188,30.5
Connecticut,2016,"Bachelor's degree (BA, AB, BS)",8460,32.2
Connecticut,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1414,34.2
Connecticut,2016,High school graduate or GED completed,6688,27.6
Connecticut,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6110,33.0
Connecticut,2016,"Some college credit, but not a degree",6422,28.7
Connecticut,2016,Unknown or Not Stated,116,31.4
Connecticut,2017,8th grade or less,842,30.4
Connecticut,2017,9th through 12th grade with no diploma,2732,26.2
Connecticut,2017,"Associate degree (AA, AS)",3162,30.8
Connecticut,2017,"Bachelor's degree (BA, AB, BS)",8226,32.2
Connecticut,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1444,34.3
Connecticut,2017,High school graduate or GED completed,6390,27.6
Connecticut,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5961,33.2
Connecticut,2017,"Some college credit, but not a degree",6371,28.9
Connecticut,2017,Unknown or Not Stated,93,30.3
Connecticut,2018,8th grade or less,766,31.0
Connecticut,2018,9th through 12th grade with no diploma,2484,26.3
Connecticut,2018,"Associate degree (AA, AS)",3126,30.7
Connecticut,2018,"Bachelor's degree (BA, AB, BS)",8200,32.2
Connecticut,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1456,34.2
Connecticut,2018,High school graduate or GED completed,6587,27.9
Connecticut,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5961,33.2
Connecticut,2018,"Some college credit, but not a degree",6078,28.9
Connecticut,2018,Unknown or Not Stated,67,29.0
Connecticut,2019,8th grade or less,729,30.6
Connecticut,2019,9th through 12th grade with no diploma,2393,26.4
Connecticut,2019,"Associate degree (AA, AS)",3142,30.9
Connecticut,2019,"Bachelor's degree (BA, AB, BS)",8101,32.3
Connecticut,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1508,34.3
Connecticut,2019,High school graduate or GED completed,6437,28.0
Connecticut,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5936,33.3
Connecticut,2019,"Some college credit, but not a degree",5946,29.1
Connecticut,2019,Unknown or Not Stated,66,28.2
Connecticut,2020,8th grade or less,780,31.0
Connecticut,2020,9th through 12th grade with no diploma,2297,26.6
Connecticut,2020,"Associate degree (AA, AS)",2894,30.8
Connecticut,2020,"Bachelor's degree (BA, AB, BS)",8042,32.4
Connecticut,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1465,34.4
Connecticut,2020,High school graduate or GED completed,6570,28.0
Connecticut,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",5830,33.4
Connecticut,2020,"Some college credit, but not a degree",5525,29.2
Connecticut,2020,Unknown or Not Stated,57,30.1
Connecticut,2021,8th grade or less,823,30.5
Connecticut,2021,9th through 12th grade with no diploma,2256,26.6
Connecticut,2021,"Associate degree (AA, AS)",2959,31.2
Connecticut,2021,"Bachelor's degree (BA, AB, BS)",9074,32.6
Connecticut,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1586,34.4
Connecticut,2021,High school graduate or GED completed,6563,28.0
Connecticut,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6590,33.6
Connecticut,2021,"Some college credit, but not a degree",5778,29.6
Connecticut,2021,Unknown or Not Stated,41,29.9
Delaware,2016,8th grade or less,573,29.1
Delaware,2016,9th through 12th grade with no diploma,1089,25.0
Delaware,2016,"Associate degree (AA, AS)",732,30.2
Delaware,2016,"Bachelor's degree (BA, AB, BS)",2056,31.2
Delaware,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",296,33.8
Delaware,2016,High school graduate or GED completed,2959,26.6
Delaware,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1140,32.4
Delaware,2016,"Some college credit, but not a degree",2088,27.8
Delaware,2016,Unknown or Not Stated,59,28.5
Delaware,2017,8th grade or less,537,29.1
Delaware,2017,9th through 12th grade with no diploma,1043,25.0
Delaware,2017,"Associate degree (AA, AS)",778,29.8
Delaware,2017,"Bachelor's degree (BA, AB, BS)",1944,31.2
Delaware,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",238,33.4
Delaware,2017,High school graduate or GED completed,2916,26.8
Delaware,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1202,32.3
Delaware,2017,"Some college credit, but not a degree",2151,28.2
Delaware,2017,Unknown or Not Stated,46,28.8
Delaware,2018,8th grade or less,461,29.6
Delaware,2018,9th through 12th grade with no diploma,1048,25.4
Delaware,2018,"Associate degree (AA, AS)",740,30.5
Delaware,2018,"Bachelor's degree (BA, AB, BS)",1959,31.4
Delaware,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",253,33.8
Delaware,2018,High school graduate or GED completed,2824,26.8
Delaware,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1144,32.8
Delaware,2018,"Some college credit, but not a degree",2127,28.2
Delaware,2018,Unknown or Not Stated,65,28.2
Delaware,2019,8th grade or less,474,29.8
Delaware,2019,9th through 12th grade with no diploma,923,25.6
Delaware,2019,"Associate degree (AA, AS)",750,30.4
Delaware,2019,"Bachelor's degree (BA, AB, BS)",2009,31.5
Delaware,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",286,33.4
Delaware,2019,High school graduate or GED completed,2874,27.0
Delaware,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1165,32.7
Delaware,2019,"Some college credit, but not a degree",1997,28.4
Delaware,2019,Unknown or Not Stated,84,28.7
Delaware,2020,8th grade or less,509,29.4
Delaware,2020,9th through 12th grade with no diploma,844,25.9
Delaware,2020,"Associate degree (AA, AS)",746,30.5
Delaware,2020,"Bachelor's degree (BA, AB, BS)",1856,31.6
Delaware,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",268,34.2
Delaware,2020,High school graduate or GED completed,2802,27.0
Delaware,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1138,32.8
Delaware,2020,"Some college credit, but not a degree",2016,28.7
Delaware,2020,Unknown or Not Stated,213,30.2
Delaware,2021,8th grade or less,515,28.4
Delaware,2021,9th through 12th grade with no diploma,795,25.8
Delaware,2021,"Associate degree (AA, AS)",805,30.4
Delaware,2021,"Bachelor's degree (BA, AB, BS)",2078,31.6
